run_purpose,dataset,model,attack_type,attack_specific,repeat,output,risk_score,format_ok_has_score,format_ok_length,latency_sec,prompt_tokens,completion_tokens,error,timestamp
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Intelligent Electronic Device,gemma4:12b,address scan,1,1,,,False,False,179.02,285,3811,,2026-08-24T07:25:51
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Intelligent Electronic Device,gemma4:12b,function code scan,2,1,,,False,False,106.46,297,3799,,2026-08-24T07:27:38
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Intelligent Electronic Device,gemma4:12b,device identification attack,3,1,,,False,False,106.52,305,3791,,2026-08-24T07:29:24
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Intelligent Electronic Device,gemma4:12b,naive sensor read,4,1,,,False,False,107.24,271,3825,,2026-08-24T07:31:12
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Intelligent Electronic Device,gemma4:12b,sporadic sensor measurement injection,5,1,,,False,False,106.46,307,3789,,2026-08-24T07:32:58
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Intelligent Electronic Device,gemma4:12b,force listen mode,6,1,,,False,False,107.43,268,3828,,2026-08-24T07:34:46
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Intelligent Electronic Device,gemma4:12b,restart communication,7,1,,,False,False,106.53,299,3797,,2026-08-24T07:36:32
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Intelligent Electronic Device,gemma4:12b,data flood attack,8,1,,,False,False,106.41,310,3786,,2026-08-24T07:38:18
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Smart Grid,gemma4:12b,address scan,1,1,,,False,False,107.25,272,3824,,2026-08-24T07:40:07
"Rerun gemma4:12b tren ca 3 dataset sau khi fix num_ctx=16384 (truoc do dung mac dinh 4096, khien gemma4:12b - model 'thinking' - bi cat ngang giua chung think block, tra ve content rong / khong co risk score o ca 3 dataset, xem local_multi_model_results_1.csv)",Smart Grid,gemma4:12b,function code scan,2,1,,,False,False,106.3,307,3789,,2026-08-24T07:41:53
