Test ID,Date,Code File,Output Folder,Description / What Changed,Models Tested,Dataset(s),Result Summary,Output Files,Status
XAI-1,2026-08-17,local llms.py,repo root,"Original in-notebook local LLM comparison script (Ollama-based). Single dataset run, must be run inside the notebook kernel with pre-existing variables.","phi4-mini, qwen3:4b, qwen3:8b, deepseek-r1:8b","1 dataset (Smart Grid, per notebook's chosen_model)","success_rate% / format_compliance%:
phi4-mini: 100 / 100
deepseek-r1:8b: 100 / 75
qwen3:8b: 100 / 100
qwen3:4b: 20.8 / 80 (already unreliable here)","local_llm_comparison_results.csv, local_llm_comparison_summary.csv",Complete
XAI-2,2026-08-19,local_multi_model_ae32_relu.py (run 1),local_multi_model_ae32_relu/,First standalone run: extended local llms.py to run independently (no notebook dependency) across all 3 datasets. Original free-form 250-char prompt.,"phi4-mini, qwen3:4b, gemma4:e4b, qwen3:8b, deepseek-r1:8b, gemma4:12b, qwen3:14b (openthinker:7b skipped, not pulled)","IED, Smart Grid, WBF","Found 2 issues: (1) attack #5 missing on SG/WBF due to AE threshold; (2) gemma4:12b returns empty risk-score on every call (num_ctx=4096 default too small). format_compliance%: gemma4:12b=0, deepseek-r1:8b=22.7, gemma4:e4b=31.8, others 77-100.","local_multi_model_results_1.csv, ..._dataset_timing_1.csv, ..._summary_1.csv, local_multi_model_log.txt",Complete
XAI-3,2026-08-24,local_multi_model_ae32_relu.py (gemma4_ctxfix),local_multi_model_ae32_relu/,Fix attempt 1 for gemma4:12b: added num_ctx=16384 via OpenAI-compat client's extra_body.,gemma4:12b only,"IED, Smart Grid, WBF",Fix ineffective - format_compliance% still only 4.5 (vs 0 before). Root cause found: /v1/chat/completions silently ignores options.num_ctx on this Ollama build.,"local_multi_model_results_gemma4_ctxfix.csv, ..._summary_gemma4_ctxfix.csv, local_multi_model_gemma4_ctxfix_log.txt",Ineffective
XAI-4,2026-08-24,local_multi_model_ae32_relu.py (gemma4 2nd attempt),local_multi_model_ae32_relu/,Fix attempt 2: switched use_llm_local() to call the native /api/chat endpoint directly (confirmed via ollama ps that num_ctx=16384 was actually applied this time).,gemma4:12b only,IED only (stopped before Smart Grid/WBF),"Larger num_ctx alone didn't fix it - IED took 56 minutes for 8 calls, still only 1/8 got a risk score (model just 'thinks' longer, doesn't finish). Stopped partway through.",(not saved - script only writes CSVs after a full run completes),Partial / stopped
XAI-5,2026-08-24,local_multi_model_ae32_relu.py (gemma4_thinkfix),local_multi_model_ae32_relu/,"Fix attempt 3: added ""think"": false to the native /api/chat request body to fully disable gemma4:12b's internal reasoning instead of just giving it a bigger token budget.",gemma4:12b only,"IED, Smart Grid, WBF","Success - 100% success rate, 100% format compliance, all 22 calls took only 66s total (previously hundreds of seconds or completely empty).","local_multi_model_results_gemma4_thinkfix.csv, ..._summary_gemma4_thinkfix.csv, local_multi_model_gemma4_thinkfix... log",Success
XAI-6,2026-08-25,local_multi_model_ae32_relu.py (--runs 3),local_multi_model_ae32_relu/,"Full 7-model x 3-dataset comparison repeated 3 independent times (--runs 3) to check consistency, using the think:false fix now applied to ALL models (not just gemma4:12b).","phi4-mini, qwen3:4b, gemma4:e4b, qwen3:8b, deepseek-r1:8b, gemma4:12b, qwen3:14b (openthinker:7b skipped)","IED, Smart Grid, WBF","6/7 models reached 95-100% format compliance consistently across all 3 runs. qwen3:4b never disables ""thinking"": format_compliance% = 0, 0, 0 across the 3 runs (writes reasoning straight into content, ~1000-1200s total time vs ~70-350s for others).","local_multi_model_results_run1/2/3.csv, ..._summary_run1/2/3.csv, local_multi_model_run_20260824_0949.log",Complete
XAI-7,2026-09-06,local_multi_model_ae32_relu_structured_prompt.py (initial run),local_multi_model_ae32_relu_structured_prompt/,"New prompt_2: replaced the free-form 250-char prompt with a structured 5-field format (Source, Likely Cause, Affected Asset, Recommendation, Risk Score) for operator-actionable output. This run still had a bug: the field placeholders and Modbus-function-code fallback text were written in Vietnamese, leaking into the English prompt sent to the LLM.","phi4-mini, qwen3:4b, gemma4:e4b, qwen3:8b, deepseek-r1:8b, gemma4:12b, qwen3:14b","IED, Smart Grid, WBF","format_compliance%: 6/7 models 95-100%, qwen3:4b only 72.7% (best of all its runs, oddly). Bug found afterward (Vietnamese leak) - results not fully trustworthy, superseded by run2.","local_multi_model_results.csv, ..._summary.csv, run_20260906_1616.log",Superseded (prompt bug)
XAI-8,2026-09-06,local_multi_model_ae32_relu_structured_prompt.py (run2),local_multi_model_ae32_relu_structured_prompt/,Re-run after fixing the Vietnamese-text leak in the prompt (all field descriptions and the Modbus function-code fallback translated to English). Run on lab232-a04.,"phi4-mini, qwen3:4b, gemma4:e4b, qwen3:8b, deepseek-r1:8b, gemma4:12b, qwen3:14b","IED, Smart Grid, WBF","deepseek-r1:8b confirmed 100% success/compliance (think:false works). qwen3:4b still broken: format_compliance=65%, 2/22 calls timed out (>600s), avg_completion_tokens ~3536 (8-50x other models). 1 transient CUDA crash on phi4-mini/WBF.","local_multi_model_results_run2.csv, ..._summary_run2.csv, run_20260906_1927_run2.log",Complete
XAI-9,2026-09-06 / 09-07,local_multi_model_ae32_relu_structured_prompt.py (run3),local_multi_model_ae32_relu_structured_prompt/,3rd independent run on lab232-a04 to check result stability.,"phi4-mini, qwen3:4b, gemma4:e4b, qwen3:8b, deepseek-r1:8b, gemma4:12b, qwen3:14b","IED, Smart Grid, WBF","Infra failure mid-run: a04's GPU fell off the PCI bus (nvidia-smi became unreachable), causing a universal slowdown/timeouts across ALL models on the IED dataset (16-17 timeout errors, not just qwen3:4b). deepseek-r1:8b and gemma4:e4b success rates dropped to 77-86%. Result not comparable to run2/run4/run5 due to the hardware fault - moved back to a01.","local_multi_model_results_run3.csv, ..._summary_run3.csv, run_20260906_2204_run3.log",Failed (infra)
XAI-10,2026-09-07,local_multi_model_ae32_relu_structured_prompt.py (run4),local_multi_model_ae32_relu_structured_prompt/,"Re-run on lab232-a01 (a04 GPU faulted) via a detached screen session, chained with run5.","phi4-mini, qwen3:4b, gemma4:e4b, qwen3:8b, deepseek-r1:8b, gemma4:12b, qwen3:14b","IED, Smart Grid, WBF","6/7 models 100% success/compliance. qwen3:4b: 100% success but format_compliance=50% (still doesn't respect think:false, but no timeouts this time).","local_multi_model_results_run4.csv, ..._summary_run4.csv, run_20260907_0732_run4.log",Complete
