run_purpose,dataset,model,attack_type,attack_specific,repeat,output,risk_score,format_ok_has_score,format_ok_length,latency_sec,prompt_tokens,completion_tokens,error,timestamp
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Intelligent Electronic Device,gemma4:12b,address scan,1,1,"The packet flow rate of 107.5 packets per second significantly exceeds the threshold of 24.49, indicating a potential DoS attack or rapid scanning. The Modbus Function Code 24 is also non-standard for common operations. Risk Score: 8/10",8.0,True,True,12.47,282,62,,2026-08-24T09:31:13
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Intelligent Electronic Device,gemma4:12b,function code scan,2,1,"The packet flow rate of 189.25 packets per second significantly exceeds the threshold of 24.49, indicating a potential DoS attack or scanning activity. The Modbus Function Code 40 is also non-standard/invalid. Risk Score: 8/10",8.0,True,True,2.44,294,62,,2026-08-24T09:31:15
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Intelligent Electronic Device,gemma4:12b,device identification attack,3,1,"The packet flow rate of 38.75 packets per second exceeds the threshold of 24.49, indicating a potential DoS or scanning activity. Function Code 43 is non-standard for basic polling, suggesting potential unauthorized command execution. Risk Score: 8/10",8.0,True,True,2.4,302,62,,2026-08-24T09:31:18
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Intelligent Electronic Device,gemma4:12b,naive sensor read,4,1,"The packet flow rate of 29.25 packets per second exceeds the established threshold of 24.49, indicating a potential flood or scanning activity on the Modbus protocol. This suggests a possible DoS attempt or unauthorized polling. Risk Score: 7/10",7.0,True,True,2.32,268,59,,2026-08-24T09:31:20
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Intelligent Electronic Device,gemma4:12b,sporadic sensor measurement injection,5,1,"The packet flow rate of 43.5 packets per second exceeds the threshold of 24.49, indicating a high-frequency polling or potential flood attack. Function Code 6 (Write Single Register) suggests unauthorized modification of industrial parameters. Risk Score: 8/10",8.0,True,True,2.39,304,60,,2026-08-24T09:31:22
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Intelligent Electronic Device,gemma4:12b,force listen mode,6,1,"The flow rate of 31.0 packets per second exceeds the threshold of 24.49, indicating a potential flood or scanning activity. Additionally, Function Code 8 (Diagnostics) is often used in reconnaissance. The behavior is anomalous. Risk Score: 7/10",7.0,True,True,2.46,265,60,,2026-08-24T09:31:25
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Intelligent Electronic Device,gemma4:12b,restart communication,7,1,"The packet shows a Modbus Function Code 8 (Diagnostics), which is often used for reconnaissance or device fingerprinting. While the flow rate (26.0) exceeds the 24.49 threshold, it is only slightly above. Risk Score: 6/10",6.0,True,True,2.41,296,59,,2026-08-24T09:31:27
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Intelligent Electronic Device,gemma4:12b,data flood attack,8,1,"The packet flow rate of 10588.25 packets per second significantly exceeds the threshold of 24.49, indicating a potential DoS attack or a malfunctioning sensor. The high frequency suggests a flood of Modbus requests. Risk Score: 9/10",9.0,True,True,2.4,307,60,,2026-08-24T09:31:29
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Smart Grid,gemma4:12b,address scan,1,1,"The packet shows a Modbus Function Code 43 (Read Device_Attribute), which is often used for reconnaissance. While the flow rate (17.25) exceeds the 15.07 threshold, it is only slightly above. The activity suggests a scan. Risk Score: 6/10",6.0,True,True,2.54,269,66,,2026-08-24T09:31:33
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Smart Grid,gemma4:12b,function code scan,2,1,"The packet shows a Modbus Function Code 102 (Read Coils) targeting a PLC. While the flow rate (39.0 pps) exceeds the threshold of 15.07, it is not a massive flood. However, the high frequency suggests potential automated scanning or polling. Risk Score: 6/10",6.0,True,True,2.67,304,72,,2026-08-24T09:31:36
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Smart Grid,gemma4:12b,device identification attack,3,1,"The packet shows a Modbus Function Code 43 (Read Device_Attribute), which is often used for reconnaissance. The flow rate of 12.0 pps is below the 15.07 threshold, suggesting a stealthy scan rather than a DoS attack. Risk Score: 4/10",4.0,True,True,2.62,268,67,,2026-08-24T09:31:39
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Smart Grid,gemma4:12b,naive sensor read,4,1,"The Modbus PDU contains an extremely long, repetitive hex string, indicating a buffer overflow attempt or a malformed packet injection. While the flow rate is below the 15.07 threshold, the payload structure is highly irregular and malicious.

Risk Score: 9/10",9.0,True,True,2.9,800,60,,2026-08-24T09:31:42
"Rerun #3 gemma4:12b: them think:false qua endpoint goc /api/chat (xac nhan hoat dong, khac voi lan thu qua OpenAI-compat truoc day) de tranh model sinh khoi thinking cuc dai roi bi cat ngang. Ky vong nhanh hon nhieu va co day du risk score.",Smart Grid,gemma4:12b,force listen mode,6,1,"The packet shows a Modbus Function Code 8 (Diagnostics), which is often used for reconnaissance. The flow rate of 17.0 exceeds the 15.07 threshold, indicating a potential scanning or automated polling attempt on the target device.

Risk Score: 7/10",7.0,True,True,2.59,264,62,,2026-08-24T09:31:44
