dataset,model,attack_type,attack_specific,repeat,output,risk_score,format_ok_has_score,format_ok_length,latency_sec,prompt_tokens,completion_tokens,error,timestamp
Intelligent Electronic Device,phi4-mini,address scan,1,1,The packet flow rate is significantly higher than normal. Possible Modbus command execution. Risk Score: 7/10.,7.0,True,True,66.96,231,25,,2026-08-19T07:12:53
Intelligent Electronic Device,phi4-mini,function code scan,2,1,"The packet flow rate is significantly higher than normal, indicating potential malicious activity. Risk Score: 9/10.",9.0,True,True,0.49,251,24,,2026-08-19T07:12:54
Intelligent Electronic Device,phi4-mini,device identification attack,3,1,"The high packet flow rate (38.75 packets/s) significantly exceeds the baseline (24.49 packets/s). The Modbus function code 43 (Read Holding Registers) and the PDU suggest legitimate Modbus traffic. However, the elevated flow rate could indicate a potential DoS attack or misconfiguration. Risk Score: 7/10.",7.0,True,False,0.91,257,71,,2026-08-19T07:12:54
Intelligent Electronic Device,phi4-mini,naive sensor read,4,1,The packet flow rate is significantly higher than normal. Possible DoS attack. Risk Score: 8/10.,8.0,True,True,0.47,230,24,,2026-08-19T07:12:55
Intelligent Electronic Device,phi4-mini,sporadic sensor measurement injection,5,1,"The high packet flow rate (43.5 packets/s) significantly exceeds the baseline (24.49 packets/s). Function Code 6 (Read Multiple Registers) suggests legitimate Modbus traffic. However, the elevated rate could indicate a Denial of Service (DoS) attack. Risk Score: 7/10.",7.0,True,True,0.86,253,65,,2026-08-19T07:12:56
Intelligent Electronic Device,phi4-mini,force listen mode,6,1,"The packet flow rate is significantly higher than normal, indicating potential malicious activity. Risk Score: 8/10.",8.0,True,True,0.45,226,24,,2026-08-19T07:12:56
Intelligent Electronic Device,phi4-mini,restart communication,7,1,"The high packet flow rate (26 packets/s) compared to the baseline (24.49 packets/s) suggests unusual activity. The consistent Modbus function code (8) and low frame time delta indicate a steady, possibly automated process. However, the unknown Modbus PDU value raises concerns about potential malicious activity. Risk Score: 7/10.",7.0,True,False,0.9,249,72,,2026-08-19T07:12:57
Intelligent Electronic Device,phi4-mini,data flood attack,8,1,The high packet flow rate (10588.25 packets/s) significantly exceeds normal levels. Function Code 4 (Read Holding Registers) could indicate data exfiltration. Risk Score: 9/10.,9.0,True,True,0.64,255,43,,2026-08-19T07:12:58
Intelligent Electronic Device,qwen3:4b,address scan,1,1,Anomalous: Flow rate (107.5 pps) > threshold (24.49 pps). Non-standard Modbus function code (24). Risk Score: 8/10,8.0,True,True,76.87,275,4782,,2026-08-19T07:14:15
Intelligent Electronic Device,qwen3:4b,function code scan,2,1,Flow rate 189.25 pps > threshold 24.49. Modbus function 40.0 (non-standard) with empty PDU. Risk Score: 8/10,8.0,True,True,60.93,285,5265,,2026-08-19T07:15:16
Intelligent Electronic Device,qwen3:4b,device identification attack,3,1,Flow rate (38.75 pps) exceeds threshold (24.49). Non-standard Modbus function code (43) detected. Risk Score: 8/10,8.0,True,True,49.93,293,4355,,2026-08-19T07:16:06
Intelligent Electronic Device,qwen3:4b,naive sensor read,4,1,Anomalous flow rate (29.25 pps) exceeds threshold (24.49 pps). Risk Score: 4/10,4.0,True,True,41.8,261,3675,,2026-08-19T07:16:47
Intelligent Electronic Device,qwen3:4b,sporadic sensor measurement injection,5,1,Flow rate (43.5 pps) exceeds threshold (24.49 pps). Risk Score: 5/10,5.0,True,True,34.86,295,3093,,2026-08-19T07:17:22
Intelligent Electronic Device,qwen3:4b,force listen mode,6,1,"Malformed MODBUS request (func 8, 0x0000) with flow rate 31 pps > threshold. Risk Score: 9/10",9.0,True,True,57.28,258,4936,,2026-08-19T07:18:19
